Borough_code,Borough_name,All,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000001,City of London,7375,70,52,41,34,39,32,47,38,40,25,39,28,35,41,26,33,31,41,51,41,70,60,123,143,149,170,189,193,220,184,182,182,153,153,150,122,136,104,118,118,141,101,136,151,98,126,133,115,116,110,97,88,94,108,84,90,106,93,93,94,88,92,87,115,81,73,74,60,73,49,54,54,62,46,42,50,34,26,38,37,28,25,31,38,24,28,16,13,7,11,16,3,6,3,3,3,2,3,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000002,Barking and Dagenham,185911,3735,3726,3783,3763,3669,3323,2959,2707,2694,2648,2559,2405,2516,2758,2519,2534,2637,2609,2516,2289,2502,2431,2527,2849,2744,2797,3045,2924,3137,3068,3195,3087,3027,2997,2935,2944,3044,2901,2888,2729,2907,2696,2761,2723,2629,2567,2555,2451,2399,2244,2248,2099,1979,1899,1787,1632,1606,1576,1526,1387,1398,1370,1336,1349,1346,1114,1043,943,1022,828,816,910,899,874,827,807,782,729,722,739,758,722,575,642,506,535,478,421,338,330,259,214,109,84,80,60,52,39,24,11,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000003,Barnet,356386,5439,5324,5192,5286,4998,4850,4589,4365,4362,4186,4163,4328,4257,4319,4226,4350,4380,4459,3811,3580,3796,4185,4804,5602,5526,6050,6123,6148,6463,6641,6401,6294,6115,5696,5665,5546,5491,5383,5368,5316,5421,5397,5286,5280,5205,5041,4831,4968,4619,4520,4526,4215,4268,4082,3757,3814,3564,3382,3408,3381,3332,3389,3401,3348,3442,2942,2912,2785,2543,2144,2048,2158,2144,2016,2031,1956,1894,1778,1758,1648,1643,1526,1415,1216,1200,1112,1051,987,875,760,660,501,345,306,257,205,194,119,102,74,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000004,Bexley,231997,2975,3048,3020,3105,3034,2926,2793,2816,2668,2812,2897,2985,3044,3020,3072,3351,3213,3361,3075,2828,3061,2983,3039,2908,2841,2854,2740,2786,2825,2836,2970,3026,2927,2737,2813,2768,2902,2947,3114,3261,3371,3466,3578,3485,3781,3700,3670,3706,3540,3378,3442,3132,3086,3005,2830,2634,2553,2419,2404,2429,2381,2398,2475,2767,2774,2141,2174,1959,2024,1618,1637,1831,1809,1760,1742,1660,1561,1486,1458,1316,1381,1286,1182,1068,1010,811,762,684,607,539,494,344,214,154,153,116,70,50,39,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000005,Brent,311215,4783,4625,4427,4353,4258,3907,3845,3769,3529,3598,3606,3629,3414,3634,3659,3721,3722,3885,3686,3575,3834,4188,4873,5582,5721,6831,6872,6987,7023,6985,6820,6495,5925,5612,5338,5240,4919,4789,4833,4543,4442,4539,4345,4351,4097,4286,4248,4128,4023,3861,3965,3845,3797,3507,3359,3290,2994,2803,2741,2615,2628,2625,2374,2363,2278,2037,1971,1885,1907,1780,1646,1788,1710,1580,1640,1464,1460,1328,1262,1170,1110,1021,857,760,705,574,591,484,400,359,283,268,138,117,80,86,64,55,34,23,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000006,Bromley,309392,3963,4119,4011,3988,4014,3814,3711,3636,3517,3383,3639,3563,3779,3778,3853,3818,3888,4024,3459,2723,2793,2949,3354,3571,3452,3503,3399,3526,3654,3805,4194,4363,4199,4125,4183,4162,4424,4377,4618,4633,4980,4883,4914,5065,5012,5053,5012,5088,4632,4527,4596,4195,4121,3960,3812,3615,3454,3394,3328,3258,3367,3469,3606,3964,4086,3075,3087,2879,2794,2342,2258,2386,2380,2353,2216,2119,2031,1974,2030,2070,1861,1868,1683,1489,1327,1248,1097,1011,899,831,798,525,314,251,232,182,141,112,67,39,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000007,Camden,220338,2889,2761,2599,2551,2368,2263,2247,2271,2035,2082,2097,1963,1826,1853,1855,1805,1763,1777,2842,4336,4539,4171,4328,4478,4347,4863,5083,5128,5347,5502,5519,5382,4888,4436,4202,4207,3978,3791,3730,3463,3440,3229,3306,3045,2957,2839,2783,2712,2515,2395,2449,2213,2215,2150,1931,2019,1864,1875,1832,1772,1766,1817,1913,1896,1863,1592,1661,1481,1373,1199,1145,1179,1228,1039,1040,990,968,850,841,793,866,756,692,584,557,492,491,396,356,313,270,224,133,84,93,78,70,52,40,22,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000008,Croydon,363378,5730,5662,5535,5619,5426,4937,4843,4608,4394,4314,4412,4658,4575,4592,4893,4912,4917,5017,4648,4072,4177,4246,4725,5067,5376,5454,5253,5316,5694,5975,5963,5859,5907,5427,5486,5533,5358,5070,5256,5476,5399,5316,5472,5393,5524,5947,5795,5801,5677,5308,5072,4834,4652,4347,4166,4062,3908,3776,3568,3575,3292,3282,3346,3536,3573,2747,2642,2558,2524,2116,2113,2151,2145,2101,2058,1977,1893,1782,1613,1655,1525,1350,1237,1173,1113,933,882,777,716,573,509,437,214,235,173,134,105,72,57,29,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000009,Ealing,338449,5414,5199,4991,5034,4788,4480,4227,3888,3889,3901,3775,3841,3819,3793,3815,4023,3707,4021,3567,3355,3896,4142,4819,5720,5975,6550,6686,6664,6988,7110,7272,7001,6827,6314,6163,5967,5872,5716,5516,5300,5281,5277,5131,4932,4877,4879,4811,4574,4404,4209,4167,3843,3804,3664,3529,3523,3458,3366,3228,3044,2889,2820,2841,2850,2796,2187,2214,2078,2038,1870,1777,1864,1867,1852,1672,1664,1544,1434,1336,1290,1197,1056,945,894,792,779,658,609,525,452,453,338,157,152,122,129,72,77,34,20,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E09000010,Enfield,312466,4995,4886,4893,4973,4766,4663,4302,4082,3965,3918,4048,3963,4120,4049,4125,4253,4253,4294,3980,3731,3924,4148,4361,4678,4615,4923,5070,4704,5070,5190,5055,4962,4936,4647,4529,4321,4405,4415,4631,4438,4686,4766,4732,4790,4872,4777,4841,4531,4565,4183,4106,3990,3813,3642,3418,3250,3117,3027,2811,2783,2750,2671,2654,2800,2777,2433,2358,2328,2128,1917,1776,1998,1860,1830,1764,1677,1596,1527,1448,1372,1347,1229,1070,986,907,834,799,661,623,532,432,380,242,175,169,120,105,76,51,34,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
