Borough_code,Borough_name,Age_code,Age_desc,Value
E09000001,City of London,0,Aged under 1 year,44
E09000001,City of London,1,Aged 1 year,57
E09000001,City of London,2,Aged 2 years,34
E09000001,City of London,3,Aged 3 years,39
E09000001,City of London,4,Aged 4 years,40
E09000001,City of London,5,Aged 5 years,27
E09000001,City of London,6,Aged 6 years,28
E09000001,City of London,7,Aged 7 years,42
E09000001,City of London,8,Aged 8 years,30
E09000001,City of London,9,Aged 9 years,33
E09000001,City of London,10,Aged 10 years,50
E09000001,City of London,11,Aged 11 years,42
E09000001,City of London,12,Aged 12 years,34
E09000001,City of London,13,Aged 13 years,22
E09000001,City of London,14,Aged 14 years,26
E09000001,City of London,15,Aged 15 years,32
E09000001,City of London,16,Aged 16 years,36
E09000001,City of London,17,Aged 17 years,37
E09000001,City of London,18,Aged 18 years,60
E09000001,City of London,19,Aged 19 years,52
E09000001,City of London,20,Aged 20 years,113
E09000001,City of London,21,Aged 21 years,131
E09000001,City of London,22,Aged 22 years,193
E09000001,City of London,23,Aged 23 years,307
E09000001,City of London,24,Aged 24 years,221
E09000001,City of London,25,Aged 25 years,245
E09000001,City of London,26,Aged 26 years,262
E09000001,City of London,27,Aged 27 years,240
E09000001,City of London,28,Aged 28 years,227
E09000001,City of London,29,Aged 29 years,239
E09000001,City of London,30,Aged 30 years,243
E09000001,City of London,31,Aged 31 years,201
E09000001,City of London,32,Aged 32 years,211
E09000001,City of London,33,Aged 33 years,186
E09000001,City of London,34,Aged 34 years,159
E09000001,City of London,35,Aged 35 years,174
E09000001,City of London,36,Aged 36 years,152
E09000001,City of London,37,Aged 37 years,129
E09000001,City of London,38,Aged 38 years,134
E09000001,City of London,39,Aged 39 years,135
E09000001,City of London,40,Aged 40 years,113
E09000001,City of London,41,Aged 41 years,108
E09000001,City of London,42,Aged 42 years,103
E09000001,City of London,43,Aged 43 years,117
E09000001,City of London,44,Aged 44 years,106
E09000001,City of London,45,Aged 45 years,108
E09000001,City of London,46,Aged 46 years,96
E09000001,City of London,47,Aged 47 years,107
E09000001,City of London,48,Aged 48 years,100
E09000001,City of London,49,Aged 49 years,133
E09000001,City of London,50,Aged 50 years,123
E09000001,City of London,51,Aged 51 years,138
E09000001,City of London,52,Aged 52 years,142
E09000001,City of London,53,Aged 53 years,141
E09000001,City of London,54,Aged 54 years,96
E09000001,City of London,55,Aged 55 years,113
E09000001,City of London,56,Aged 56 years,98
E09000001,City of London,57,Aged 57 years,111
E09000001,City of London,58,Aged 58 years,98
E09000001,City of London,59,Aged 59 years,98
E09000001,City of London,60,Aged 60 years,103
E09000001,City of London,61,Aged 61 years,95
E09000001,City of London,62,Aged 62 years,84
E09000001,City of London,63,Aged 63 years,100
E09000001,City of London,64,Aged 64 years,77
E09000001,City of London,65,Aged 65 years,87
E09000001,City of London,66,Aged 66 years,80
E09000001,City of London,67,Aged 67 years,67
E09000001,City of London,68,Aged 68 years,75
E09000001,City of London,69,Aged 69 years,82
E09000001,City of London,70,Aged 70 years,58
E09000001,City of London,71,Aged 71 years,62
E09000001,City of London,72,Aged 72 years,61
E09000001,City of London,73,Aged 73 years,76
E09000001,City of London,74,Aged 74 years,63
E09000001,City of London,75,Aged 75 years,49
E09000001,City of London,76,Aged 76 years,51
E09000001,City of London,77,Aged 77 years,46
E09000001,City of London,78,Aged 78 years,34
E09000001,City of London,79,Aged 79 years,28
E09000001,City of London,80,Aged 80 years,45
E09000001,City of London,81,Aged 81 years,42
E09000001,City of London,82,Aged 82 years,28
E09000001,City of London,83,Aged 83 years,27
E09000001,City of London,84,Aged 84 years,22
E09000001,City of London,85,Aged 85 years,21
E09000001,City of London,86,Aged 86 years,18
E09000001,City of London,87,Aged 87 years,14
E09000001,City of London,88,Aged 88 years,11
E09000001,City of London,89,Aged 89 years,17
E09000001,City of London,90,Aged 90 years,12
E09000001,City of London,91,Aged 91 years,4
E09000001,City of London,92,Aged 92 years,3
E09000001,City of London,93,Aged 93 years,8
E09000001,City of London,94,Aged 94 years,3
E09000001,City of London,95,Aged 95 years,3
E09000001,City of London,96,Aged 96 years,4
E09000001,City of London,97,Aged 97 years,0
E09000001,City of London,98,Aged 98 years,0
E09000001,City of London,99,Aged 99 years,0
E09000001,City of London,100,Aged 100 years and over,3
E09000002,Barking and Dagenham,0,Aged under 1 year,3156
E09000002,Barking and Dagenham,1,Aged 1 year,3427
E09000002,Barking and Dagenham,2,Aged 2 years,3387
E09000002,Barking and Dagenham,3,Aged 3 years,3617
E09000002,Barking and Dagenham,4,Aged 4 years,3664
E09000002,Barking and Dagenham,5,Aged 5 years,3700
E09000002,Barking and Dagenham,6,Aged 6 years,3527
E09000002,Barking and Dagenham,7,Aged 7 years,3592
E09000002,Barking and Dagenham,8,Aged 8 years,3734
E09000002,Barking and Dagenham,9,Aged 9 years,3778
E09000002,Barking and Dagenham,10,Aged 10 years,3714
E09000002,Barking and Dagenham,11,Aged 11 years,3600
E09000002,Barking and Dagenham,12,Aged 12 years,3689
E09000002,Barking and Dagenham,13,Aged 13 years,3639
E09000002,Barking and Dagenham,14,Aged 14 years,3590
E09000002,Barking and Dagenham,15,Aged 15 years,3313
E09000002,Barking and Dagenham,16,Aged 16 years,3321
E09000002,Barking and Dagenham,17,Aged 17 years,3061
E09000002,Barking and Dagenham,18,Aged 18 years,2956
E09000002,Barking and Dagenham,19,Aged 19 years,2472
