date,year,source,value
01/07/2001,2001,ONS mid-year estimates,7322403
01/07/2002,2002,ONS mid-year estimates,7376671
01/07/2003,2003,ONS mid-year estimates,7394817
01/07/2004,2004,ONS mid-year estimates,7432730
01/07/2005,2005,ONS mid-year estimates,7519009
01/07/2006,2006,ONS mid-year estimates,7597825
01/07/2007,2007,ONS mid-year estimates,7693473
01/07/2008,2008,ONS mid-year estimates,7812161
01/07/2009,2009,ONS mid-year estimates,7942594
01/07/2010,2010,ONS mid-year estimates,8061495
01/07/2011,2011,ONS mid-year estimates,8204407
21/03/2001,2001,Census estimates,7172091
21/03/2011,2011,Census estimates,8173941
21/03/2021,2021,Census estimates,8799800
01/07/2011,2011,GLA estimates,8204407
01/07/2012,2012,GLA estimates,8306006
01/07/2013,2013,GLA estimates,8408360
01/07/2014,2014,GLA estimates,8521761
01/07/2015,2015,GLA estimates,8636895
01/07/2016,2016,GLA estimates,8726682
01/07/2017,2017,GLA estimates,8769074
01/07/2018,2018,GLA estimates,8831360
01/07/2019,2019,GLA estimates,8863727
01/07/2020,2020,GLA estimates,8878177
01/07/2021,2021,GLA estimates,8796618
