year_ending_date,type,annual_births,ci_lower,ci_upper
01/07/2000,Official estimates,105.38,105.38,105.38
01/07/2001,Official estimates,104.179,104.179,104.179
01/07/2002,Official estimates,104.312,104.312,104.312
01/07/2003,Official estimates,108.471,108.471,108.471
01/07/2004,Official estimates,111.662,111.662,111.662
01/07/2005,Official estimates,114.648,114.648,114.648
01/07/2006,Official estimates,117.93,117.93,117.93
01/07/2007,Official estimates,123.342,123.342,123.342
01/07/2008,Official estimates,127.645,127.645,127.645
01/07/2009,Official estimates,127.733,127.733,127.733
01/07/2010,Official estimates,130.84,130.84,130.84
01/07/2011,Official estimates,133.44,133.44,133.44
01/07/2012,Official estimates,134.037,134.037,134.037
01/07/2013,Official estimates,131.011,131.011,131.011
01/01/2014,Official estimates,128.332,128.332,128.332
01/07/2014,Official estimates,127.807,127.807,127.807
01/01/2015,Official estimates,127.399,127.399,127.399
01/07/2015,Official estimates,128.52,128.52,128.52
01/01/2016,Official estimates,129.615,129.615,129.615
01/07/2016,Official estimates,129.847,129.847,129.847
01/01/2017,Official estimates,128.803,128.803,128.803
01/07/2017,Official estimates,127.359,127.359,127.359
01/01/2018,Official estimates,126.308,126.308,126.308
01/07/2018,Official estimates,123.594,123.594,123.594
01/01/2019,Official estimates,120.673,120.673,120.673
01/07/2019,Official estimates,119.086,119.086,119.086
01/01/2020,Official estimates,117.897,117.897,117.897
01/07/2020,Official estimates,115.735,115.735,115.735
01/01/2021,Official estimates,111.688,111.688,111.688
01/07/2021,Official estimates,109.713,109.713,109.713
01/01/2022,Official estimates,110.961,110.961,110.961
01/07/2022,Official estimates,107,,
01/01/2020,Modelled estimates,117.897,117.897,117.897
01/02/2020,Modelled estimates,118.7703,118.7703,118.7703
01/03/2020,Modelled estimates,119.2232,119.2232,119.2232
01/04/2020,Modelled estimates,117.238,117.238,117.238
01/05/2020,Modelled estimates,116.2818,116.2818,116.2818
01/06/2020,Modelled estimates,115.3422,115.3422,115.3422
01/07/2020,Modelled estimates,115.735,115.735,115.735
01/08/2020,Modelled estimates,115.1609,115.1609,115.1609
01/09/2020,Modelled estimates,113.5453,113.5453,113.5453
01/10/2020,Modelled estimates,113.408,113.408,113.408
01/11/2020,Modelled estimates,113.0928,113.0928,113.0928
01/12/2020,Modelled estimates,113.0312,113.0312,113.0312
01/01/2021,Modelled estimates,111.688,111.688,111.688
01/02/2021,Modelled estimates,110.4315,110.4315,110.4315
01/03/2021,Modelled estimates,109.9763,109.9763,109.9763
01/04/2021,Modelled estimates,110.0745,110.0745,110.0745
01/05/2021,Modelled estimates,110.0856,110.0856,110.0856
01/06/2021,Modelled estimates,109.066,109.066,109.066
01/07/2021,Modelled estimates,109.713,109.713,109.713
01/08/2021,Modelled estimates,109.3465,109.3465,109.3465
01/09/2021,Modelled estimates,109.2447,109.2447,109.2447
01/10/2021,Modelled estimates,109.7441,109.7441,109.7441
01/11/2021,Modelled estimates,109.7021,109.7021,109.7021
01/12/2021,Modelled estimates,110.6681,110.6681,110.6681
01/01/2022,Modelled estimates,110.961,110.961,110.961
01/02/2022,Modelled estimates,112.099,,
01/03/2022,Modelled estimates,112.1856,,
01/04/2022,Modelled estimates,112.2685,,
01/05/2022,Modelled estimates,111.4376,,
01/06/2022,Modelled estimates,111.4536,,
01/07/2022,Modelled estimates,111.2544,,
01/08/2022,Modelled estimates,109.957,,
01/09/2022,Modelled estimates,109.1847,,
01/10/2022,Modelled estimates,108.6886,,
01/11/2022,Modelled estimates,107.9438,,
01/12/2022,Modelled estimates,108.1316,,
01/01/2023,Modelled estimates,106.8847,,
01/02/2023,Modelled estimates,107.6928,,
01/03/2023,Modelled estimates,107.6654,,
01/04/2023,Modelled estimates,107.5888,,
01/05/2023,Modelled estimates,106.6597,,
01/06/2023,Modelled estimates,106.3436,,
01/07/2023,Modelled estimates,106.7919,,
01/08/2023,Modelled estimates,106.3756,,
01/09/2023,Modelled estimates,105.8954,,
01/10/2023,Modelled estimates,105.8213,,
01/11/2023,Modelled estimates,105.4661,,
