year_ending_date,type,annual_births,ci_lower,ci_upper
01/07/2000,Official estimates,105.3800,105.3800,105.3800
01/07/2001,Official estimates,104.1790,104.1790,104.1790
01/07/2002,Official estimates,104.3120,104.3120,104.3120
01/07/2003,Official estimates,108.4710,108.4710,108.4710
01/07/2004,Official estimates,111.6620,111.6620,111.6620
01/07/2005,Official estimates,114.6480,114.6480,114.6480
01/07/2006,Official estimates,117.9300,117.9300,117.9300
01/07/2007,Official estimates,123.3420,123.3420,123.3420
01/07/2008,Official estimates,127.6450,127.6450,127.6450
01/07/2009,Official estimates,127.7330,127.7330,127.7330
01/07/2010,Official estimates,130.8400,130.8400,130.8400
01/07/2011,Official estimates,133.4400,133.4400,133.4400
01/07/2012,Official estimates,134.0370,134.0370,134.0370
01/07/2013,Official estimates,131.0110,131.0110,131.0110
01/01/2014,Official estimates,128.3320,128.3320,128.3320
01/07/2014,Official estimates,127.8070,127.8070,127.8070
01/01/2015,Official estimates,127.3990,127.3990,127.3990
01/07/2015,Official estimates,128.5200,128.5200,128.5200
01/01/2016,Official estimates,129.6150,129.6150,129.6150
01/07/2016,Official estimates,129.8470,129.8470,129.8470
01/01/2017,Official estimates,128.8030,128.8030,128.8030
01/07/2017,Official estimates,127.3590,127.3590,127.3590
01/01/2018,Official estimates,126.3080,126.3080,126.3080
01/07/2018,Official estimates,123.5940,123.5940,123.5940
01/01/2019,Official estimates,120.6730,120.6730,120.6730
01/07/2019,Official estimates,119.0860,119.0860,119.0860
01/01/2020,Official estimates,117.8970,117.8970,117.8970
01/07/2020,Official estimates,115.7350,115.7350,115.7350
01/01/2021,Official estimates,111.6880,111.6880,111.6880
01/07/2021,Official estimates,109.7130,109.7130,109.7130
01/01/2022,Official estimates,110.9610,110.9610,110.9610
01/07/2022,Official estimates,109.4880,,
01/01/2023,Official estimates,106.6960,,
01/02/2023,Modelled estimates,107.4589,105.9046,109.0132
01/03/2023,Modelled estimates,107.3878,105.8339,108.9417
01/04/2023,Modelled estimates,107.2677,105.7149,108.8205
01/05/2023,Modelled estimates,106.2981,104.7587,107.8374
01/06/2023,Modelled estimates,105.9398,104.405,107.4746
01/07/2023,Modelled estimates,106.3431,104.8018,107.8843
01/08/2023,Modelled estimates,105.9285,104.3725,107.4846
01/09/2023,Modelled estimates,105.4503,103.8806,107.02
01/10/2023,Modelled estimates,105.3765,103.7873,106.9658
01/11/2023,Modelled estimates,105.0229,103.4183,106.6274
