year,mcob,value
2001,UK,59104
2001,Non-UK,45058
2002,UK,57544
2002,Non-UK,48059
2003,UK,58147
2003,Non-UK,52290
2004,UK,57772
2004,Non-UK,55907
2005,UK,56567
2005,Non-UK,59452
2006,UK,57376
2006,Non-UK,63522
2007,UK,57854
2007,Non-UK,67651
2008,UK,57927
2008,Non-UK,69724
2009,UK,57872
2009,Non-UK,71373
2010,UK,58194
2010,Non-UK,74915
2011,UK,57450
2011,Non-UK,75383
2012,UK,57105
2012,Non-UK,77076
2013,UK,54227
2013,Non-UK,74098
2014,UK,53399
2014,Non-UK,73989
2015,UK,54429
2015,Non-UK,75174
2016,UK,53866
2016,Non-UK,74923
2017,UK,53125
2017,Non-UK,73179
2018,UK,51731
2018,Non-UK,68936
2019,UK,50203
2019,Non-UK,67690
2020,UK,47039
2020,Non-UK,64644
2021,UK,47958
2021,Non-UK,62986
2022,UK,44846
2022,Non-UK,61846
