year,mcob,value
2001,EU,6977
2001,Other Europe,3380
2001,Asia,13489
2001,Africa,13600
2001,Rest of world,7612
2002,EU,7311
2002,Other Europe,3368
2002,Asia,14333
2002,Africa,14642
2002,Rest of world,8405
2003,EU,7918
2003,Other Europe,3628
2003,Asia,15404
2003,Africa,16334
2003,Rest of world,9006
2004,EU,8733
2004,Other Europe,3763
2004,Asia,16498
2004,Africa,18002
2004,Rest of world,8911
2005,EU,9811
2005,Other Europe,3951
2005,Asia,16960
2005,Africa,19596
2005,Rest of world,9134
2006,EU,11309
2006,Other Europe,4090
2006,Asia,18206
2006,Africa,20043
2006,Rest of world,9874
2007,EU,13371
2007,Other Europe,4503
2007,Asia,19153
2007,Africa,20817
2007,Rest of world,9807
2008,EU,14624
2008,Other Europe,4396
2008,Asia,19882
2008,Africa,20902
2008,Rest of world,9920
2009,EU,15950
2009,Other Europe,4520
2009,Asia,20550
2009,Africa,20517
2009,Rest of world,9836
2010,EU,17971
2010,Other Europe,4336
2010,Asia,24180
2010,Africa,20618
2010,Rest of world,7810
2011,EU,18402
2011,Other Europe,4160
2011,Asia,25478
2011,Africa,19866
2011,Rest of world,7477
2012,EU,19614
2012,Other Europe,4390
2012,Asia,26257
2012,Africa,19322
2012,Rest of world,7493
2013,EU,19600
2013,Other Europe,4454
2013,Asia,24950
2013,Africa,17916
2013,Rest of world,7178
2014,EU,20338
2014,Other Europe,4676
2014,Asia,24954
2014,Africa,16943
2014,Rest of world,7078
2015,EU,22166
2015,Other Europe,4983
2015,Asia,24500
2015,Africa,16335
2015,Rest of world,7190
2016,EU,22573
2016,Other Europe,5382
2016,Asia,24235
2016,Africa,15600
2016,Rest of world,7133
2017,EU,22635
2017,Other Europe,5523
2017,Asia,23522
2017,Africa,14548
2017,Rest of world,6951
2018,EU,21642
2018,Other Europe,5626
2018,Asia,21614
2018,Africa,13244
2018,Rest of world,6810
2019,EU,20739
2019,Other Europe,5956
2019,Asia,21807
2019,Africa,12579
2019,Rest of world,6609
2020,EU,19192
2020,Other Europe,5896
2020,Asia,21640
2020,Africa,11440
2020,Rest of world,6476
2021,EU,18365
2021,Other Europe,5933
2021,Asia,21394
2021,Africa,10725
2021,Rest of world,6569
2022,EU,16658
2022,Other Europe,5826
2022,Asia,22413
2022,Africa,10799
2022,Rest of world,6150
