BoroughCode,Inner,BoroughName
E09000002,0,Barking and Dagenham
E09000003,0,Barnet
E09000004,0,Bexley
E09000005,0,Brent
E09000006,0,Bromley
E09000007,1,Camden
E09000001,1,City of London
E09000008,0,Croydon
E09000009,0,Ealing
E09000010,0,Enfield
E09000011,0,Greenwich
E09000012,1,Hackney
E09000013,1,Hammersmith and Fulham
E09000014,1,Haringey
E09000015,0,Harrow
E09000016,0,Havering
E09000017,0,Hillingdon
E09000018,0,Hounslow
E09000019,1,Islington
E09000020,1,Kensington and Chelsea
E09000021,0,Kingston upon Thames
E09000022,1,Lambeth
E09000023,1,Lewisham
E09000024,0,Merton
E09000025,1,Newham
E09000026,0,Redbridge
E09000027,0,Richmond upon Thames
E09000028,1,Southwark
E09000029,0,Sutton
E09000030,1,Tower Hamlets
E09000031,0,Waltham Forest
E09000032,1,Wandsworth
E09000033,1,Westminster
